run_name,hidden_size,lr,weight_decay,seq_max_len,batch_size,dropout,seed
gru_h16_lr1e-3_len256,16,0.001,0.001,256,32,0.1,523
gru_h32_lr1e-3_len256,32,0.001,0.001,256,32,0.1,523
gru_h64_lr1e-3_len256,64,0.001,0.001,256,32,0.1,523
gru_h16_lr5e-4_len512,16,0.0005,0.001,512,32,0.1,523
gru_h32_lr5e-4_len512,32,0.0005,0.001,512,32,0.1,523
gru_h64_lr5e-4_len512,64,0.0005,0.001,512,32,0.1,523
